Survived,Fare,Family,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
0,7.25,1,0,1,0,0,1,0,0,1
1,71.2833,1,1,0,1,0,0,1,0,0
1,7.925,0,1,0,0,0,1,0,0,1
1,53.1,1,1,0,0,0,1,1,0,0
0,8.05,0,0,1,0,0,1,0,0,1
0,8.4583,0,0,1,0,1,0,0,0,1
0,51.8625,0,0,1,0,0,1,1,0,0
0,21.075,4,0,1,0,0,1,0,0,1
1,11.1333,2,1,0,0,0,1,0,0,1
1,30.0708,1,1,0,1,0,0,0,1,0
1,16.7,2,1,0,0,0,1,0,0,1
1,26.55,0,1,0,0,0,1,1,0,0
0,8.05,0,0,1,0,0,1,0,0,1
0,31.275,6,0,1,0,0,1,0,0,1
0,7.8542,0,1,0,0,0,1,0,0,1
1,16.0,0,1,0,0,0,1,0,1,0
0,29.125,5,0,1,0,1,0,0,0,1
1,13.0,0,0,1,0,0,1,0,1,0
0,18.0,1,1,0,0,0,1,0,0,1
1,7.225,0,1,0,1,0,0,0,0,1
0,26.0,0,0,1,0,0,1,0,1,0
1,13.0,0,0,1,0,0,1,0,1,0
1,8.0292,0,1,0,0,1,0,0,0,1
1,35.5,0,0,1,0,0,1,1,0,0
0,21.075,4,1,0,0,0,1,0,0,1
1,31.3875,6,1,0,0,0,1,0,0,1
0,7.225,0,0,1,1,0,0,0,0,1
0,263.0,5,0,1,0,0,1,1,0,0
1,7.8792,0,1,0,0,1,0,0,0,1
0,7.8958,0,0,1,0,0,1,0,0,1
0,27.7208,0,0,1,1,0,0,1,0,0
1,146.5208,1,1,0,1,0,0,1,0,0
1,7.75,0,1,0,0,1,0,0,0,1
0,10.5,0,0,1,0,0,1,0,1,0
0,82.1708,1,0,1,1,0,0,1,0,0
0,52.0,1,0,1,0,0,1,1,0,0
1,7.2292,0,0,1,1,0,0,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,18.0,2,1,0,0,0,1,0,0,1
1,11.2417,1,1,0,1,0,0,0,0,1
0,9.475,1,1,0,0,0,1,0,0,1
0,21.0,1,1,0,0,0,1,0,1,0
0,7.8958,0,0,1,1,0,0,0,0,1
1,41.5792,3,1,0,1,0,0,0,1,0
1,7.8792,0,1,0,0,1,0,0,0,1
0,8.05,0,0,1,0,0,1,0,0,1
0,15.5,1,0,1,0,1,0,0,0,1
1,7.75,0,1,0,0,1,0,0,0,1
0,21.6792,2,0,1,1,0,0,0,0,1
0,17.8,1,1,0,0,0,1,0,0,1
0,39.6875,5,0,1,0,0,1,0,0,1
0,7.8,0,0,1,0,0,1,0,0,1
1,76.7292,1,1,0,1,0,0,1,0,0
1,26.0,1,1,0,0,0,1,0,1,0
0,61.9792,1,0,1,1,0,0,1,0,0
1,35.5,0,0,1,0,0,1,1,0,0
1,10.5,0,1,0,0,0,1,0,1,0
