Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,Family
0,3,male,22.0,7.25,NA,S,1
1,1,female,38.0,71.2833,C85,C,1
1,3,female,26.0,7.925,NA,S,0
1,1,female,35.0,53.1,C123,S,1
0,3,male,35.0,8.05,NA,S,0
0,3,male,28.0,8.4583,NA,Q,0
0,1,male,54.0,51.8625,E46,S,0
0,3,male,2.0,21.075,NA,S,4
1,3,female,27.0,11.1333,NA,S,2
1,2,female,14.0,30.0708,NA,C,1
1,3,female,4.0,16.7,G6,S,2
1,1,female,58.0,26.55,C103,S,0
0,3,male,20.0,8.05,NA,S,0
0,3,male,39.0,31.275,NA,S,6
0,3,female,14.0,7.8542,NA,S,0
1,2,female,55.0,16.0,NA,S,0
0,3,male,2.0,29.125,NA,Q,5
1,2,male,28.0,13.0,NA,S,0
0,3,female,31.0,18.0,NA,S,1
1,3,female,28.0,7.225,NA,C,0
0,2,male,35.0,26.0,NA,S,0
1,2,male,34.0,13.0,D56,S,0
1,3,female,15.0,8.0292,NA,Q,0
1,1,male,28.0,35.5,A6,S,0
0,3,female,8.0,21.075,NA,S,4
1,3,female,38.0,31.3875,NA,S,6
0,3,male,28.0,7.225,NA,C,0
0,1,male,19.0,263.0,C23 C25 C27,S,5
1,3,female,28.0,7.8792,NA,Q,0
0,3,male,28.0,7.8958,NA,S,0
0,1,male,40.0,27.7208,NA,C,0
1,1,female,28.0,146.5208,B78,C,1
1,3,female,28.0,7.75,NA,Q,0
0,2,male,66.0,10.5,NA,S,0
0,1,male,28.0,82.1708,NA,C,1
0,1,male,42.0,52.0,NA,S,1
1,3,male,28.0,7.2292,NA,C,0
0,3,male,21.0,8.05,NA,S,0
0,3,female,18.0,18.0,NA,S,2
1,3,female,14.0,11.2417,NA,C,1
0,3,female,40.0,9.475,NA,S,1
0,2,female,27.0,21.0,NA,S,1
0,3,male,28.0,7.8958,NA,C,0
1,2,female,3.0,41.5792,NA,C,3
1,3,female,19.0,7.8792,NA,Q,0
0,3,male,28.0,8.05,NA,S,0
0,3,male,28.0,15.5,NA,Q,1
1,3,female,28.0,7.75,NA,Q,0
0,3,male,28.0,21.6792,NA,C,2
0,3,female,18.0,17.8,NA,S,1
0,3,male,7.0,39.6875,NA,S,5
0,3,male,21.0,7.8,NA,S,0
1,1,female,49.0,76.7292,D33,C,1
1,2,female,29.0,26.0,NA,S,1
0,1,male,65.0,61.9792,B30,C,1
1,1,male,28.0,35.5,C52,S,0
1,2,female,21.0,10.5,NA,S,0
0,3,male,28.5,7.2292,NA,C,0
1,2,female,5.0,27.75,NA,S,3
0,3,male,11.0,46.9,NA,S,7
0,3,male,22.0,7.2292,NA,C,0
1,1,female,38.0,80.0,B28,S,0
0,1,male,45.0,83.475,C83,S,1
0,3,male,4.0,27.9,NA,S,5
